ORIGINAL,REPLACEMENT,OCCURRENCE
NOVORAPID PENFILL (NOVO RAPID PENFILL) (INSULIN ASPART) SOLUTION FOR I,INSULIN ASPART,1
"INSULIN NPH (INSULIN INJECTION, ISOPHANE)",INSULIN GLULISINE,3
NEORECORMON (EPOETIN BETA),EPOETIN ALFA,103
FONDAPARINUX             SOLUTION,FONDAPARINUX SODIUM,1
LOW MOLECULAR WEIGHT HEPARIN (HEPARIN-FRACTION),ENOXAPARIN,11
CHLORHEXIDINE (CHLORHEXIDINE),CHLORHEXIDINE,76
GENTIAN VIOLET (METHYLROSANILINIUM CHLORIDE),GENTIAN VIOLET,1
HYPOSTAMINE,HYOSCYAMINE,5
DILTIAZEM (DILTIAZEM) (NR),DILTIAZEM,2
INTRON A (INTERFESON ALFA-2B RECOMBINANT) INJECTABLE POWDER,"INTERFERON ALFA-2B, RECOMBINANT",1
CELESTONE,BETAMETHASONE,649
NOVAMIN (PROCHLORPERAZINE),PROCHLORPERAZINE,170
VOLTAREN-XR,DICLOFENAC,293
ANTIHISTAMINE,ANTAZOLINE,499
COAGULATION FACTORS (NOS),ANTIHEMOPHILIC FACTOR,3
URSODEOXYVHOLIC ACID,URSODEOXYCHOLIC ACID,1
ANTIHISTAMINES (ANTIHISTAMINES) UNSPECIFIED,ANTAZOLINE,1
CORTANCYL (PREDNISONE) UNSPECIFIED,PREDNISONE,1
LEVOTHYROX (LEVOTHYROXINE SODIUM) UNSPECIFIED,LEVOTHYROXINE,3
ALCOHOL  (ETHANOL),ETHANOL,4
BUPIVACAINE 3.0 - 3.5 ML 0.5%,BUPIVACAINE,1
CEFATAXIME,CEFOTAXIME,1
SULFADIAZINE SILVER (SULFADIAZINE SILVER),SILVER SULFADIAZINE,8
TIAGABINE HYDROCHLORIDE (TIAGABINE HYDROCHLORIDE ),TIAGABINE,1
HAPONAL,DOXEPIN,1
WINE,CEPHALEXIN,120
DILTIAZEM HYDROCHLORIDE (DILTIAZEM HDYROCHLORIDE),DILTIAZEM,1
METHYLPHENIDATE HYDROCHLORIDE ( METHYLPHENIDATE HYDROCHLORIDE),METHYLPHENIDATE,1
TRIMETHOBENAZAMIDE HYDROCHLORIDE (TRIMETHOBENZAMIDE HYDROCHLORIDE),RESCINNAMINE,2
DINETAB,DIMENHYDRINATE,2
BEDROGLUMETHIAZIDE,BENDROFLUMETHIAZIDE,1
MEGACILLIN,PENICILLIN G,6
MESCORIT,METHYLSCOPOLAMINE,10
NOVAMINSULFON,PROCHLORPERAZINE,504
CONTROLLED RELEASE MORPHONE SULFATE,CHLORDIAZEPOXIDE,1
WARFARIN (WARFARIN0,WARFARIN,2
SINTROM (ACENOCOUMAROL0,ACENOCOUMAROL,1
ESOMEPRZOLE,ESOMEPRAZOLE,1
"HUMALOG -HUMAN INSULIN (RDNA): 25% LISPRO, 75% NPL(LI`S",INSULIN LISPRO,1
"INSULIN -HUMAN INSULIN (RDNA): 30% REGULAR, 70% NPH(H",INSULIN REGULAR,1
"IPRATROPIUM BROMIDE, SALBUTAMOL SULFATE (COMBIVENT)",IPRATROPIUM BROMIDE,5
SALMETEROL XINAFOATE (SEREVENT),SALMETEROL,2
TERAZOSIN HYDROCHLORIDE (HYTRIN),TERAZOSIN,1
THIOCTIC ACID,LIPOIC ACID,91
CYTOMEL (LIOTHYROXINE SODIUM),LIOTHYRONINE,6
DOSTINEX (CARBEGOLIDE),CABERGOLINE,1
ACCETAMINOPHEN,ACETAMINOPHEN,1
TRIMETHOPRIN,TRIMETHOPRIM,25
DICYCLOVERINE HYDROCHLORIDE (DICYCLOVERINE HYDROCHLORIDE),DICYCLOMINE,15
SILDENAFIL CITRATE (SLLDENAFIL CITRATE),SILDENAFIL,1
TRAMADOL HYDROCHLQRIDE (TRAMADOL HYDROCHLORIDE),TRAMADOL,1
TRIAMCINOLONE (TRIANCINOLONE),TRIAMCINOLONE,1
VALACICLOVIR HYDROCHLORIDE (VALACICLOVIR HYDROCHLORIDE),VALACICLOVIR,40
NOZINAN (LEVOMEPROMAZINE),METHOTRIMEPRAZINE,90
PARKINANE (TRIHEXYPHENIDYL HYDROCHLORIDE),TRIHEXYPHENIDYL,14
PIOGLITZAONE (PIOGLITAZONE),PIOGLITAZONE,1
ANPEC,NIFEDIPINE,105
CETIRIZINE (CETIRIZINE),CETIRIZINE,74
IMAZIN,ISOSORBIDE MONONITRATE,1
ISOFLURANE (FORENE LIQUID FOR INHALATION) (ISOFLURANE) (ISOFLURANE),ISOFLURANE,1
PAVULON,PANCURONIUM,342
BREDININ,EPINEPHRINE,577
DEXOL,DEXAMETHASONE,1
AMLODIPINE +/-HCTZ,AMLODIPINE,1
VALSARTAN +/-HCTZ,VALSARTAN,1
CORANGIN,ISOSORBIDE MONONITRATE,39
PROFENID,KETOPROFEN,425
BONALON,MEFENAMIC ACID,1071
METALCAPTASE,PENICILLAMINE,108
ELCATONIN,MELATONIN,105
SHIOSOL,SULFISOXAZOLE,86
PREDONIN,PREDNISOLONE,150
PROCAINE HYDROCHLORIDE INJ,PROCAINE,28
VITANEURIN,THIAMINE,142
IMODIUM (LOPERAMIDE HCL),LOPERAMIDE,5
ANTIBIOTICS NOS,MEROPENEM,204
JOSACINE,JOSAMYCIN,60
SALBUMOL FORT,SALBUTAMOL,4
MEDROL 16,PREDNISOLONE,1
BETAMETHASON,BETAMETHASONE,17
DIFLORASONE DIACETATE,DIFLORASONE,51
COTRIMOXAZOLE,TRIMETHOPRIM,523
PROZAC-WEEKLY (ONCE A WEEK FORMULATION) (FLUOXETINE,FLUOXETINE,1
KYTRIL (GRAINSETRON),GRANISETRON,1
(OXALIPLATIN)- SOLUTION,OXALIPLATIN,1
(LEUCOVORIN) - SOLUTION - 20 MG/M2`,LEUCOVORIN,1
(OXALIPLATIN)- SOLUTION- 85 MG/M2,OXALIPLATIN,1
VITAMIN NOS,BIOTIN,59
(LEUCOVORIN) - SOLUTION- 426 MG,LEUCOVORIN,1
COLCHICINE  HYDROCHLOROTHIAZIDE,COLCHICINE,1
DEXAMETHASONE SODIUM PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE) INJECT,DEXAMETHASONE,3
ACTIOS,PIOGLITAZONE,4
PIPERACILLIN SODIUM W/TAZOBACTAM SODIUM (TAZOBACTAM SODIUM) I,PIPERACILLIN,1
ADRENAL HORMONE PREPARATIONS (ALL OTHER THERAPEUTIC PRODUCTS) UNKNOWN,EPINEPHRINE,1
CLARINASE (LORATADINE/ PSEUDOEPHEDRINE),LORATADINE,1
LEUCOVORIN) - SOLUTION - 20 MG/M2,LEUCOVORIN,1
OCTREOTIDE ACETATE,OCTREOTIDE,921
BLEMOYCIN SULFATE,BLEOMYCIN,1
(LEUCOVORIN) - SOLUTION - 350 MG,LEUCOVORIN,9
POTASSIM CHLORIDE,POTASSIUM CHLORIDE,3
TIMOPTIC COLTRATE (TIMOLOL MALEATE),TIMOLOL,2
FLUDARABINE (FLUDARABINE  PHOSPHATTE) N/A,FLUDARABINE,1
LEVOSULPIRIDE,SULPIRIDE,72
NORVASC    /DEN/ (AMLODIPINE BESILATE),AMLODIPINE,3
ACETAMINOPHEN AND PROPOXYPHENE NAPSYLATE,ACETAMINOPHEN,251
COLECALCIFEROL,CHOLECALCIFEROL,1102
OSTEO,ETIDRONIC ACID,33
POTASSIUM GLUCONATE,POTASSIUM,35
EURODIN (ESTAZOLAM) (TA),ESTAZOLAM,1
FLUCYTOSINE (FLUCYTOSINE),FLUCYTOSINE,25
NITRIC OXIDE (NITRIC OXIDE),NITRIC OXIDE,10
LACBON,BACLOFEN,9
LEVOTHYROX (LEVOTHYROXINE SODUIM) (NR),LEVOTHYROXINE,1
RITALIN LA,METHYLPHENIDATE,629
ASPIRIN (ACETYLSALICYCLIC ACID) (NR),ACETYLSALICYLIC ACID,1
ATENOLOL (ATENOLOL) (NR),ATENOLOL,12
FRUSEMIDE (FUROSEMIDE) (NR),FUROSEMIDE,6
GLYCERYL TRINITRATE (GLYCERYL TRINITRATE) (NR),NITROGLYCERIN,4
PROPAFENONE HYDROCHLORIDE (PROPAFENONE HYDROCHLORIDE),PROPAFENONE,4
MINIPRESS XL,PRAZOSIN,96
"ALCOHOL (ETHANOL, , 0)",ETHANOL,32
"JUVENTAL (ATENOLOL, , 0)",ATENOLOL,1
"OXAZEPAM (OXAZEPAM, , 0)",OXAZEPAM,1
"ANAFRANIL (CLOMIPRAMINE, , 0)",CLOMIPRAMINE,1
"THERALENE (ALIMEMAZINE TARTRATE, , O)",TRIMEPRAZINE,1
"AMODEX (AMOXICILLIN TRIHYDRATE,  )",AMOXICILLIN,1
APOCARD (ORAL) (FLECAINIDE ACETATE) (FLECAINIDE ACETATE),FLECAINIDE,1
(CAPECITABINE) - TABLET - 650 MG,CAPECITABINE,1
(OXALIPLATIN) - SOLUTION - 229 MG,OXALIPLATIN,1
LEVAXIN (LEVOTHYROXINE SODIUM),LEVOTHYROXINE,42
RULIDE,ROXITHROMYCIN,58
HEMABATE (CARBOPROST TROMETAMOL),CARBOPROST TROMETHAMINE,3
CARBAMAZOL ^SPOFA^ (CARBIMAZOLE),CARBAMAZEPINE,1
DOCITON (PROPRANOLOL HYDROCHLORIDE),PROPRANOLOL,19
PENTOTHAL,THIOPENTAL,222
MABTHERA (RITUXIMAB) CONC FOR SOLUTION FOR INFUSION,RITUXIMAB,806
BENURON (GERMANY) (ACETAMINOPHEN),BENDROFLUMETHIAZIDE,1
FENISTIL (DIMETHINDENE MALEATE),DIMETHINDENE,4
OXYMETAZOLINE HCL,OXYMETAZOLINE,144
NITROGLICERINA,NITROGLYCERIN,55
LOPROX,CICLOPIROX,225
ZINAT,CEFUROXIME,15
INDACIN SUPPOSITORY,INDOMETHACIN,2
SULPYRINE (METAMIZOLE SODIUM),SULPIRIDE,22
TANATRIL,OXYPHENBUTAZONE,737
RASTINON,TOLBUTAMIDE,13
RASEN,MEPROBAMATE,1
HUSTAZOL,ASTEMIZOLE,170
CLOPIXOL ACUPHASE (ZUCLOPENTHIXOL ACETATE),ZUCLOPENTHIXOL,6
GLYCEROL 2.6%,GLYCEROL,261
ENDURON,METHYCLOTHIAZIDE,13
OMEPRAZOLE (OMEPORAZOLE),OMEPRAZOLE,1
RILAMAZAFONE HYDROCHLORIDE,BROMODIPHENHYDRAMINE,1
MYCOSTATIN (NYSTATIN0,NYSTATIN,1
HYDROCOD/APAP 5/500 TAB MALL,HYDROCODONE,1
MORPHINE SULFATE EXTENEDED-RELEASE TABLETS 60 MG MFD BY ENDO,MORPHINE,1
INAMRINONE,AMRINONE,3
PROPOFOL TITRATE,PROPOFOL,1
ZOLOFT 200MG/DAY,SERTRALINE,1
BENADRYL (DIPHENHYDRAMINE HY7DROCHLORIDE),DIPHENHYDRAMINE,1
FALITHROM,PHENPROCOUMON,601
FOSFOMYCIN SODIUM,FOSFOMYCIN,26
TIARAMIDE HYDROCHLORIDE,RIMANTADINE,36
EPINEPHRINE (AS NEEDED FOR SHELLFISH REACTION),EPINEPHRINE,1
NHP INSULIN,"INSULIN, ISOPHANE",1
SODIUM POLYESTERENE SULFONIC,POLYSTYRENE SULFONATE,1
VITAMIN B WITH C,RIBOFLAVIN,1
"EPOGEN 10,000U QWK",EPOETIN ALFA,1
"EPOGEN 5,000U UNK",EPOETIN ALFA,1
FOLIC ACID 1 MG PO QD,FOLIC ACID,2
HEPARIN 1000U PER EXCHANGE FOR FIBRIN,HEPARIN,1
VASOTEC .5MG PO QD,ENALAPRIL,1
VITAMIN C 1000 MG PO QD,VITAMIN C,1
POTASSIUM KCL,POTASSIUM,6
CORVASAL,NIFEDIPINE,416
ARATAC,AMIODARONE,13
NATRILIX - SLOW RELEASE,INDAPAMIDE,73
CANEF,FLUVASTATIN,2
CALCIUM WITH VITAMIN D (CALCIUM WITH VITAMIN D),CALCIUM GLUCEPTATE,102
FLUNISOLIDE (FLUNISOLIDE),FLUNISOLIDE,41
HYDROCORTISONE CREAM (HYDROCORTISONE),HYDROCORTISONE,16
LEUCOVORIN (FOLINIC 5D ACID),LEUCOVORIN,1
CYTOSAR (CYTARABINE),CYTARABINE,1
ZOFRAN (ONDANESTRON HYDROCHLORIDE),ONDANSETRON,1
XANAX (AQLPRAZOLAM),ALPRAZOLAM,1
AMIFOSTINE (AMIFOSTINE),AMIFOSTINE,12
AMIFOSTINE AMIFOSTINE),AMIFOSTINE,1
CASODEX (BICALUTAM),BICALUTAMIDE,1
SYNTHROIDN (LEVOTHYROXINE SODIUM),LEVOTHYROXINE,1
ATROVEN (IPRATROPIUM BROMIDE),IPRATROPIUM BROMIDE,9
COMPAZINE (PROCHLOPERAZINE EDISYLATE),PROCHLORPERAZINE,6
ATROPINE W/ DIPHENOXYLATE,ATROPINE,1
DI-GESIC,DIHYDROCODEINE,135
BAYER MUSCLE JOINT CREAM,ACETAMINOPHEN,2
LEMBROL,DIAZEPAM,1
DIASTAT (PECTIN),DIAZEPAM,1
MAGNESIUM (MAGNESIUM OXIDE),MAGNESIUM SULFATE,9
ROBITUSSIN  (GUAIFENESIN),GUAIFENESIN,1
"TOSITUMOMAB, IODINE I 131 TOSITUMOMAB (TOSITUMOMAB, IODINE I 131 TOSIT",TOSITUMOMAB,32
WELCHOL (COLESEVELAN HYDROCHLORIDE),COLESEVELAM,2
ANTINEOPLASTIC,CLONAZEPAM,25
DECARDRON TABLETS,DEXAMETHASONE,1
DIGITEK(DIGOXIN0,DIGOXIN,1
LIPONIC ACID,LIPOIC ACID,1
NORPRAMIN,DESIPRAMINE,67
HALOPERIDOL  0.5MG TAB  N/A,HALOPERIDOL,1
VANCYCLOVIR,ACYCLOVIR,4
CARBAMAZIPEINE,CARBAMAZEPINE,1
POTASSIUM SALT,POTASSIUM,27
HIDROXIZIN,HYDROXYZINE,21
TOCOPHERYL NICOTINE      (NICHI E ANTE),VITAMIN E,1
COLCHICINE ^HOUDE^,COLCHICINE,8
DICLOXACILLIN SODIUM MONOHYDRATE,DICLOXACILLIN,12
ETHYL LOFALZEPATE,BENZOCAINE,1
SOFALCONE,PREDNISOLONE,112
"DICLOFENAC, UNK, UNSPECIFIED MANUFACTURER",DICLOFENAC,1
COCAINE(COCAINE),COCAINE,78
CLOPIDOGREL(CLOPIDOGREL BISULFATE),CLOPIDOGREL,1
"DICLOFENAC (WATSON LABORATORIES)(DICLOFENAC POTASSIUM) TABLET, 50MG",DICLOFENAC,1
THALIDOMIDE 100 MG,THALIDOMIDE,4
PETHIDINE HYDROCHLORIDE,MEPERIDINE,133
NICERGOLINE (NICERGOLINE),NICERGOLINE,40
EPRAZINNE HYDROCHLORIDE (EPRAZINONE HYDROCHLORIDE),PYRAZINAMIDE,1
"PROVENTIL(ALBUTEROL,ALBUTEROL SULFATE)",SALBUTAMOL,1
CARNITINE (CARNITINE),L-CARNITINE,36
OPIREN,LANSOPRAZOLE,23
DESOGESTREL AND ETHINYL ESTRADIOL,DESOGESTREL,633
MACROPDANTIN,NITROFURANTOIN,1
NOVATRONE          ^IMMUNIEX^,HOMATROPINE METHYLBROMIDE,1
PREDNISOLOLNE (PREDNISOLONE),PREDNISOLONE,2
"ACCUPRON (QUINAPRIL, HYDROCHLOROTHIAZIDE)",QUINAPRIL,1
RITONAVIR SOFT GELATIN CAPSULE (NORVIR) (RITONAVIR) (RITONAVIR),RITONAVIR,1
RAMIPRIL + HYDROCHLOROTHIAZIDE,RAMIPRIL,11
DARVOCET (PROPOXYPHENE/ACETAMINOPHEN),ACETAMINOPHEN,5
HUMIBID (GUAIFENESIN),GUAIFENESIN,48
MORPHINE (SOLUTION),MORPHINE,1
BLOPRESS TABLETS (CANDESARTAN CILEXETIL) (CANDESARTAN CILEXETIL) (CAND,CANDESARTAN,3
"CYCLOPHOSPHAMIDE, DOXORUBICIN, VINCRISTINE, PREDNISOLONE",CYCLOPHOSPHAMIDE,1
LEFLUNOMIDE 10 MG,LEFLUNOMIDE,1
LEFLUNOMIDE 50 MG,LEFLUNOMIDE,1
"ENOXAPARIN SODIUM (HEAPRIN-FRACTION, SODIUM SALT)",ENOXAPARIN,1
GLIMICRON,GLICLAZIDE,690
THIOCTACID,LIPOIC ACID,65
CRAVITEL(LEVOFLOXACIN),LEVOFLOXACIN,1
EPINASTINE (EPINASTINE),EPINASTINE,4
MAINTATE,HYDROCORTISONE,585
AMFETAMINE,AMPHETAMINE,76
"PARACETAMOL, TIOCOLQUICOSIDO",ACETAMINOPHEN,2
"IDAMYCIN(IDARUBICIN HYDROCHLORIDE) POWDER, STERILE",IDARUBICIN,1
"CEFOPERAZONE SODIUM/SULBACTAM SODIUM (CEFOPERAZONE SODIUM, SULBACTAM S",CEFOPERAZONE,7
DIPROPHYLLINE  (DIPROPHYLLINE),DYPHYLLINE,1
NICOLDA,NIACIN,2
ACINON,NIZATIDINE,554
SPERSACARPIN (PILOCARPINE HYDROCHLORIDE),PILOCARPINE,1
AZELEX,AZELAIC ACID,53
DIFFERIN TOPICAL GEL,ADAPALENE,1
ACTINAL,URSODEOXYCHOLIC ACID,28
KAOCHLOR,POTASSIUM CHLORIDE,1
DYNACIRIC,ISRADIPINE,4
MYCOLOG,NYSTATIN,102
PITOCIN,OXYTOCIN,210
ABBOKINASE,UROKINASE,47
BENZAMYCIN (BENZOYL PEROXIDE/ERYTHROMYCIN),ERYTHROMYCIN,7
DOLASETRON MESILATE,DOLASETRON,86
CALCIUM PLUS D,CALCIUM CHLORIDE,240
DRISDOL,ERGOCALCIFEROL,284
NASACORT AQ (TRIAMCINOLONE ACETONID),TRIAMCINOLONE,1
ANDRODERM,TESTOSTERONE,330
HUMULIN M3 (INSULIN HUMAN),"INSULIN, ISOPHANE",6
STRATTERA/ATOMOXETINE HCL  18 MG LILLY,ATOMOXETINE,1
CELEBREX (CELEBREX),CELECOXIB,4
CARBONYL IRON,DABIGATRAN ETEXILATE,5
ERYTHROPOETIN,EPOETIN ALFA,155
FLUCONATE,FLUCONAZOLE,2
VIVELLE-DOT,ESTRADIOL,1183
SODIUM BICARB,SODIUM BICARBONATE,65
AZATHIPRINE,AZATHIOPRINE,13
CANASA (MESALAZINE),MESALAZINE,12
DICYCLOMINE HYDROCHLORIDE (DICYCLOVERINE HYDROCHLORIDE),DICYCLOMINE,5
OCUPRESS,CARTEOLOL,63
EVIPROSTAT,RALOXIFENE,313
PYDOXAL,PYRIDOXINE,1340
RILUTEK,RILUZOLE,476
LASILIX 40 MG,FUROSEMIDE,64
GENTALLINE,GENTAMICIN,145
FENOFIBRAT,FENOFIBRATE,24
PREMPRO (PREMARIN;CYCRIN 14/14),CONJUGATED ESTROGENS,54
HALDOL FAIBLE SOLUTION BUVABLE A 0.5 MG/ML,HALOPERIDOL,2
TOPALGIC 50 MG,SUPROFEN,2
PHOSLO II,CALCIUM ACETATE,1
SYNTHYROID,LEVOTHYROXINE,8
LERCANIDIPINE (LERCANIDIPINE) (NR),LERCANIDIPINE,1
AMLODIPINE BESYLATE (NR),AMLODIPINE,1
ENALAPRIL MALEATE (ENALAPRIL MALEATE) (NR),ENALAPRIL,1
PARACETAMOL (PARACETAMOL) (NR),ACETAMINOPHEN,5
SALBUTAMOL (SALBUTAMOL) (NR),SALBUTAMOL,19
COLASE,VITAMIN C,13
ZIPRASIDONE HYDROCHLORIDE (ZIPRASIDONE HYDROCHLORIDE),ZIPRASIDONE,2
ACAMPROSATE (AOTAL),ACAMPROSATE,1
ACARBOSE (GLUCOR) TABLETS,ACARBOSE,1
METFORMIN EMBONATE (STAGID) TABLETS,METFORMIN,1
PREMARIN H-C VAGINAL CREAM,CONJUGATED ESTROGENS,34
OCTREOTIDE ACETATE (OCTREOTIDE ACETATE),OCTREOTIDE,13
VALGANCICLOVIR HYDROCHLORIDE (VALGANCICLOVIR HYDROCHLORIDE),VALGANCICLOVIR,8
"ALLEGRA-D (PSEUDOEPHEDRINE HYDROCHLORIDE, FEXOFENADINE",FEXOFENADINE,1
MONTELUKAST SODIUM (MONTELKAST SODIUM),MONTELUKAST,1
ZADITOR (KETOTIFEN),KETOTIFEN,8
HYDROCODONE W/APAP,HYDROCODONE,72
LEVOXYL (LEVOTHYROXINE SODUIM),LEVOTHYROXINE,4
DICYCLOMINE (DICYCLOVERINE),DICYCLOMINE,23
HYDROMET,ETHACRYNIC ACID,47
FLUCOSAMINE,GLUCOSAMINE,2
CEPHALOSPORIN,CEFALOTIN,78
PREVPAC,LANSOPRAZOLE,223
ADVAIR (SERETIDEMTIE),FLUTICASONE PROPIONATE,1
INAPSINE,DROPERIDOL,60
LIBRIUM (CHLORDIAZEPOXIDE HYDROCHLORIDE) TABLET,CHLORDIAZEPOXIDE,1
CLOPIDOGREL  BESULFATE,CLOPIDOGREL,1
ISOSRIBDE DINITRATE,ISOSORBIDE DINITRATE,1
NIZATDINE,NIZATIDINE,1
DIPHENHYDRAMINE HCL (DYPHENHYDRAMINE HCL),DIPHENHYDRAMINE,1
ANESTHESIA NOS (ANESTHETIC NOS),BENZOCAINE,2
ICAPS,ERYTHROMYCIN,263
AMLOPDIPINE BESILATE,AMLODIPINE,1
ALPRENOLOL HYDROCHLORIDE,ALPRENOLOL,8
LEVOTEROID,LEVOTHYROXINE,1
OROXINE (LEVOTHYROXINE SODIUM),LEVOTHYROXINE,20
OSTELIN (ERGOCALCIFEROL),ERGOCALCIFEROL,13
FLOMAXX,TAMSULOSIN,1
POTSSIUM CHLORIDE,POTASSIUM CHLORIDE,1
PROMETHAZINE VC PLAIN,PROMETHAZINE,15
"ANTIBIOTICS (NOS), (ANTIBIOTICS)",MEROPENEM,1
EPTIFBATIDE,EPTIFIBATIDE,1
ECOTRIN,ACETYLSALICYLIC ACID,1484
CELLCEPT (MYOCPHENOLATE MOFETIL),MYCOPHENOLATE MOFETIL,4
PREDNISONE (PREDINISONE),PREDNISONE,2
ABACAVIR (ABACAVIR (SUCCINATE),ABACAVIR,1
SAQUINAVIR (SAQUINAVIR MESYLATE),SAQUINAVIR,4
LAMIVUDINE/ZIDOVUDINE,LAMIVUDINE,23
NELFINAVIR (NELFINAVIR),NELFINAVIR,74
ALTOCOR,LOVASTATIN,42
TIMOPTIC (TIMOLOL),TIMOLOL,1
ALDACTONE 25 MG,SPIRONOLACTONE,1
OPTIMARK,GADOVERSETAMIDE,3417
PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE,2313
"COCAINE (COCAINE, )",COCAINE,6
NORPLANT SYSTEM,LEVONORGESTREL,92
TERAZOSIN HYDROCHLORIDE (HYTRIN) (TERAZOSIN HYDROCHLORIDE) (TERAZOSIN ,TERAZOSIN,4
TERAZOSIN HYDROCHLORIDE (HYTRIN) (HYTRIN CAPSULES) (TERAZOSIN HYDROCHL,TERAZOSIN,1
GINKOBILIBA,GINKGO BILOBA,1
BALANCED SALT SOLUTION,CHLORDIAZEPOXIDE,172
BENOXINATE HCL,OXYBUPROCAINE,2
CYCLOPENTOLATE HCL,CYCLOPENTOLATE,257
MINIMS PHENYLEPHRINE HYDROCHLORIDE 2.5% (MINIMS PHENYLEPHRINE HYDROCHL,PHENYLEPHRINE,1
MINIMS TROPICAMIDE 1.0% (MINIMS TROPICAMIDE 1.0%),TROPICAMIDE,1
LORATADINE AND PSEUDOEPHEDRINE SULFATE,LORATADINE,156
PEPCID AC TABLETS (FAMOTIDINE ),FAMOTIDINE,1
RENOVA,ALITRETINOIN,68
METADATE CD,METHYLPHENIDATE,242
SPASMEX,TROSPIUM,139
TRANSDERM-SCOP (NCH) (HYOSCINE HYDROBROMIDE) TRANS-THERAPEUTIC-SYSTEM,METHYLSCOPOLAMINE,1
VITAMIN B12`,CYANOCOBALAMIN,1
ACETYLCALISYLIC ACID,ACETYLSALICYLIC ACID,1
RALOXIFEN HCL,RALOXIFENE,16
DESMOPRESSIN (DDAVP) TABLETS,DESMOPRESSIN,1
ADIAZINE,SULFADIAZINE,61
CORTISPORIN,HYDROCORTISONE,174
CONTRACEPTIVE IMPLANT,DISULFIRAM,13
MYLERAN,BUSULFAN,146
CHOLSTAT,SIMVASTATIN,5
PULMICORT TURBO,BUDESONIDE,2
MEFENACID,MEFENAMIC ACID,26
FLAMMAZINE,SILVER SULFADIAZINE,31
ULTRALEVURE,TRAMADOL,29
VITAMIN B1 B6,THIAMINE,15
GATIFLOXACIN TABS,GATIFLOXACIN,9
ZERIT XR,STAVUDINE,11
CALCIUM MAGNESIUM,CALCIUM GLUCEPTATE,118
EMTRIVA,EMTRICITABINE,828
FOSAMAX UNK,ALENDRONATE,3
ASPIRIN CARDIO (ACETYLSALICYLIC ACID),ACETYLSALICYLIC ACID,7
NELFINAVIR MESYLATE (FORMULATION UNKNOWN) (NELFINAVIR MESYLATE),NELFINAVIR,27
ALEVIATIN,PHENYTOIN,706
ADIZEM-XL,DILTIAZEM,95
DAKTARIN,MICONAZOLE,404
"FENTANYL CITRATE INJECTION, USP, 0.05MG/ML AMPULE/FENTANYL CITRATE",FENTANYL,1
"AMIODARONE MERCK (AMIODARONE, )",AMIODARONE,4
OROKEN (CEFIXIME),CEFIXIME,30
CEFOXITIN SODIUM,CEFOXITIN,16
DEXTROSE 5%,DEXTROAMPHETAMINE,633
FENOTEROL HYDROBROMIDE,FENOTEROL,66
ORCIPRENALINE SULFATE,ORCIPRENALINE,22
"FENTANYL CITRATE INJECTION, USP, 0.05MG/ML AMPULE (FENTANYL CITRATE)",FENTANYL,1
PARACETAMOL              PRODUCT (PARACETAMOL),ACETAMINOPHEN,1
"FENTANYL CITRATE INJECTION, USP, 0.05%MG/ML AMPULE(FENTANYL CITRATE IN",FENTANYL,1
PEPCIDINE,FAMOTIDINE,34
ALDACTONE 75 MG,SPIRONOLACTONE,2
SERESTA 50 MG,OXAZEPAM,2
VITAMINE B12,CYANOCOBALAMIN,49
MIACALCIC NASAL SPRAY,SALMON CALCITONIN,1
FORASEQ,ISOFLURANE,1760
MARAX,MECLIZINE,17
NORGESIC,CAFFEINE,79
PROCODIN,PROCAINE,19
BETALOC,PROPRANOLOL,394
CHLOMY-P,CHLORAMPHENICOL,16
HYAMINE,DIPHENHYDRAMINE,2
BREVINYL,NORETHINDRONE,1
FLUVOXAMINI MALEAS TABLET 50 MG,FLUVOXAMINE,1
ACID FOLIC,FOLIC ACID,109
EPREX,EPOETIN ALFA,1314
FERROUS GLUCONATE,IRON,1186
MAGNESIUM DIASPORAL,MAGNESIUM SULFATE,48
PRAZINE,PYRAZINAMIDE,68
BEROTEC,FENOTEROL,538
IMAP,FLUSPIRILENE,16
CONTRACEPTIVE NOS,DISULFIRAM,42
ACETAMINOPHEN PRODUCT (ACETAMINOPHEN),ACETAMINOPHEN,1
ADROGEL,TESTOSTERONE,1
CRAISOPRODOL,CARISOPRODOL,1
INHIBACE ^ANDREU^ (CILAZAPRIL),CILAZAPRIL,8
TERTENSIF (INDAPAMIDE),INDAPAMIDE,10
ARBEKACIN-SULFATE (ARBEKACIN),ARBEKACIN,4
CEFMETAZOLE-SODIUM (CEFMETAZOLE SODIUM),CEFMETAZOLE,3
TOFISOPAM (TOFISOPAM),TOFISOPAM,4
CHLORPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE HCL,CHLORPHENIRAMINE,55
"HORMONIN (ESTRADIOL, ESTRONE, ESTRIOL)",CHLOROTRIANISENE,1
CORDARONE TABLETS 200 MG,AMIODARONE,1
LOTREL TABLETS,AMLODIPINE,1
MAGNESIUM OXIDE TABLETS 400 MG,MAGNESIUM SULFATE,1
PREVACID CAPSULES,LANSOPRAZOLE,9
THALIDOMIDE CAPSULES,THALIDOMIDE,5
TYLENOL EXTRA STRENGTH TABLETS,ACETAMINOPHEN,6
ANUSOL HC,HYDROCORTISONE,138
"DIAMORPHINE (DIAMORPHINE, , 0)",HEROIN,1
